** CONVERTED FROM demo01_2023_01_20_19_48.EDF using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Mon Jan 23 11:00:12 2023
** DATE: Fri Jan 20 19:48:05 2023
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.31 Nov 25 2008
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-92827
** CAMERA_CONFIG: 92827140.SCD
** RECORDED BY mlcm_experiment_with_eyetracker.py
**

MSG	603622 DISPLAY_COORDS  0 0 1919 1079
INPUT	617388	120
INPUT	632926	120
INPUT	669473	120
INPUT	683047	120
INPUT	699691	120
MSG	699949 TRIALID 0
INPUT	700006	120
INPUT	704667	120
MSG	704706 RECCFG CR 1000 1 1 L
MSG	704706 ELCLCFG BTABLER
MSG	704706 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	704706 THRESHOLDS L 96 244
MSG	704706 ELCL_PROC ELLIPSE  (5)
MSG	704706 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	704707 !MODE RECORD CR 1000 1 1 L
START	704708 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	704708	120
704978	  998.9	  504.5	 3582.0	...
704979	  999.1	  497.2	 3572.0	...
704980	  999.1	  497.2	 3572.0	...
704981	  998.4	  498.9	 3573.0	...
704982	  997.6	  500.6	 3574.0	...
704983	  997.4	  500.6	 3574.0	...
704984	  997.2	  500.4	 3573.0	...
704985	  997.2	  500.4	 3573.0	...
704986	  997.5	  500.5	 3581.0	...
704987	  997.5	  500.5	 3581.0	...
704988	  997.5	  503.5	 3581.0	...
704989	  997.5	  503.1	 3581.0	...
704990	  997.2	  503.1	 3581.0	...
704991	  996.8	  503.0	 3581.0	...
704992	  996.8	  502.0	 3584.0	...
704993	  996.4	  499.4	 3584.0	...
704994	  996.4	  499.4	 3582.0	...
704995	  998.7	  504.2	 3582.0	...
704996	  998.7	  504.2	 3582.0	...
704997	  998.6	  503.0	 3582.0	...
704998	 1000.2	  500.1	 3576.0	...
704999	 1000.2	  500.1	 3576.0	...
705000	  998.3	  500.4	 3575.0	...
705001	  998.3	  500.9	 3575.0	...
705002	  997.6	  501.8	 3576.0	...
705003	  997.6	  501.6	 3581.0	...
705004	  998.2	  501.6	 3582.0	...
705005	  998.6	  501.6	 3589.0	...
705006	  998.7	  503.2	 3589.0	...
705007	  998.7	  504.7	 3585.0	...
705008	  999.7	  506.6	 3586.0	...
705009	  999.9	  506.6	 3586.0	...
705010	 1001.2	  501.7	 3585.0	...
705011	 1001.2	  501.7	 3585.0	...
705012	 1001.7	  500.9	 3585.0	...
705013	 1001.7	  500.9	 3584.0	...
705014	  999.5	  501.9	 3582.0	...
705015	  996.9	  504.7	 3584.0	...
705016	  996.9	  504.7	 3586.0	...
705017	  998.9	  503.5	 3587.0	...
705018	  998.9	  502.2	 3587.0	...
705019	  998.1	  502.2	 3586.0	...
705020	  998.1	  503.9	 3586.0	...
705021	 1000.4	  504.0	 3586.0	...
705022	 1000.3	  503.7	 3586.0	...
705023	 1000.5	  503.7	 3583.0	...
705024	 1000.7	  502.3	 3572.0	...
705025	 1001.9	  502.3	 3571.0	...
705026	 1001.9	  503.5	 3571.0	...
705027	 1001.8	  503.1	 3572.0	...
705028	 1001.8	  503.1	 3574.0	...
705029	 1002.0	  502.8	 3575.0	...
705030	 1002.0	  502.8	 3577.0	...
705031	 1000.0	  501.8	 3578.0	...
705032	 1000.0	  501.8	 3579.0	...
705033	 1000.3	  501.9	 3581.0	...
705034	 1000.1	  501.9	 3583.0	...
705035	 1000.1	  501.9	 3583.0	...
705036	 1000.9	  501.1	 3583.0	...
705037	 1000.9	  501.1	 3578.0	...
705038	 1001.2	  506.8	 3578.0	...
705039	 1001.2	  505.6	 3581.0	...
705040	 1001.2	  506.0	 3581.0	...
705041	 1001.2	  505.9	 3581.0	...
705042	 1000.3	  505.8	 3581.0	...
705043	  999.6	  506.1	 3581.0	...
705044	  999.9	  504.6	 3579.0	...
705045	 1000.2	  503.2	 3579.0	...
705046	  999.1	  504.5	 3585.0	...
705047	  999.1	  504.3	 3585.0	...
705048	  999.7	  504.3	 3575.0	...
705049	 1000.2	  505.4	 3575.0	...
705050	 1001.0	  505.4	 3580.0	...
705051	 1001.0	  505.4	 3580.0	...
705052	 1001.0	  505.4	 3576.0	...
705053	 1001.0	  505.5	 3576.0	...
705054	 1001.2	  505.6	 3575.0	...
705055	 1001.4	  509.9	 3575.0	...
705056	 1001.7	  509.9	 3575.0	...
705057	 1001.6	  506.7	 3575.0	...
705058	 1001.6	  506.6	 3576.0	...
705059	 1001.5	  506.5	 3577.0	...
705060	 1000.2	  506.5	 3581.0	...
705061	 1000.2	  510.0	 3581.0	...
705062	 1001.4	  510.1	 3581.0	...
705063	 1001.3	  506.6	 3579.0	...
705064	 1001.2	  506.6	 3578.0	...
705065	 1001.1	  506.7	 3578.0	...
705066	  999.6	  506.6	 3580.0	...
705067	  999.2	  506.6	 3577.0	...
705068	  999.2	  506.6	 3577.0	...
705069	  998.9	  507.0	 3592.0	...
705070	  998.9	  507.4	 3592.0	...
705071	  999.2	  505.8	 3584.0	...
705072	  999.5	  505.8	 3584.0	...
705073	 1002.0	  506.8	 3572.0	...
705074	 1002.0	  507.7	 3572.0	...
705075	 1000.4	  509.9	 3576.0	...
705076	 1000.4	  509.9	 3573.0	...
705077	 1000.2	  509.9	 3573.0	...
705078	 1000.2	  509.9	 3583.0	...
705079	 1002.0	  510.0	 3583.0	...
705080	 1001.9	  506.6	 3587.0	...
705081	 1001.3	  506.6	 3587.0	...
705082	 1001.3	  506.4	 3580.0	...
705083	 1002.6	  506.4	 3580.0	...
705084	 1002.0	  508.8	 3580.0	...
705085	 1002.0	  508.8	 3580.0	...
705086	 1001.7	  506.8	 3579.0	...
705087	 1001.5	  506.7	 3578.0	...
705088	 1001.4	  508.8	 3578.0	...
705089	 1001.4	  508.8	 3578.0	...
705090	 1001.4	  507.5	 3577.0	...
705091	 1001.3	  507.5	 3576.0	...
705092	 1001.4	  512.1	 3574.0	...
705093	 1001.0	  512.3	 3574.0	...
705094	 1000.5	  512.3	 3574.0	...
705095	 1001.1	  511.5	 3574.0	...
705096	 1001.1	  510.6	 3575.0	...
705097	  999.8	  510.5	 3580.0	...
705098	 1000.1	  512.2	 3580.0	...
705099	 1000.3	  512.2	 3582.0	...
705100	 1000.6	  509.1	 3582.0	...
705101	 1000.6	  509.1	 3582.0	...
705102	 1000.2	  509.9	 3581.0	...
705103	  999.7	  509.6	 3581.0	...
705104	  998.1	  509.6	 3585.0	...
MSG	705105 image_onset
705105	  998.1	  509.5	 3585.0	...
705106	  999.2	  509.6	 3582.0	...
705107	  999.1	  511.4	 3582.0	...
705108	  999.1	  511.4	 3582.0	...
705109	  999.1	  511.5	 3577.0	...
705110	  999.5	  511.5	 3578.0	...
705111	  999.9	  509.8	 3578.0	...
705112	  999.9	  509.8	 3573.0	...
705113	  999.2	  509.8	 3573.0	...
705114	  999.2	  509.0	 3576.0	...
705115	 1000.3	  509.1	 3576.0	...
705116	 1000.3	  509.3	 3579.0	...
705117	 1001.2	  509.4	 3582.0	...
705118	 1001.2	  509.4	 3582.0	...
705119	 1000.9	  512.5	 3580.0	...
705120	 1000.7	  512.5	 3578.0	...
705121	 1000.7	  512.8	 3578.0	...
705122	  999.8	  512.7	 3578.0	...
705123	  999.8	  512.7	 3576.0	...
705124	 1000.1	  513.2	 3575.0	...
705125	 1000.1	  513.2	 3577.0	...
705126	 1000.1	  513.0	 3576.0	...
705127	 1000.1	  513.0	 3575.0	...
705128	  999.4	  514.4	 3575.0	...
705129	  999.4	  514.8	 3572.0	...
705130	  998.6	  514.8	 3572.0	...
705131	  998.0	  515.1	 3569.0	...
705132	  998.0	  515.1	 3569.0	...
705133	  998.7	  514.4	 3573.0	...
705134	  999.4	  514.5	 3574.0	...
705135	  999.1	  514.4	 3575.0	...
705136	  999.1	  514.3	 3580.0	...
705137	  999.1	  514.2	 3580.0	...
705138	  998.9	  513.2	 3572.0	...
705139	  998.9	  513.2	 3574.0	...
705140	  998.9	  513.2	 3575.0	...
705141	  998.9	  514.7	 3575.0	...
705142	  998.9	  514.7	 3574.0	...
705143	 1001.0	  516.3	 3574.0	...
705144	 1001.0	  516.3	 3574.0	...
705145	 1002.5	  514.3	 3574.0	...
705146	 1002.5	  514.3	 3574.0	...
705147	 1002.9	  514.4	 3575.0	...
705148	 1003.3	  514.4	 3575.0	...
705149	 1003.3	  516.2	 3573.0	...
705150	 1003.0	  516.1	 3573.0	...
705151	 1002.7	  516.1	 3574.0	...
705152	 1003.0	  517.6	 3577.0	...
705153	 1003.0	  517.6	 3577.0	...
705154	 1001.6	  518.6	 3576.0	...
705155	 1001.6	  518.6	 3568.0	...
705156	 1003.4	  513.3	 3568.0	...
705157	 1004.0	  513.3	 3581.0	...
705158	 1004.0	  514.4	 3581.0	...
705159	 1005.1	  514.4	 3572.0	...
705160	 1005.1	  514.4	 3572.0	...
705161	 1004.7	  514.4	 3572.0	...
705162	 1004.2	  511.2	 3567.0	...
705163	 1002.9	  511.1	 3567.0	...
705164	 1001.7	  517.4	 3567.0	...
705165	 1001.7	  517.4	 3567.0	...
705166	 1000.8	  515.3	 3567.0	...
705167	 1000.8	  515.3	 3562.0	...
