** CONVERTED FROM demo00.EDF using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Thu Jul 20 11:54:04 2023
** DATE: Thu Jul 20 10:42:47 2023
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.31 Nov 25 2008
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-92827
** CAMERA_CONFIG: 92827140.SCD
** RECORDED BY mlcm_experiment_with_eyetracker.py
**

MSG	427082 DISPLAY_COORDS  0 0 1919 1079
INPUT	431643	120
INPUT	453379	120
MSG	455733 TRIALID 0
INPUT	455792	120
INPUT	462314	120
MSG	462354 RECCFG CR 1000 1 1 R
MSG	462354 ELCLCFG BTABLER
MSG	462354 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	462354 THRESHOLDS R 97 242
MSG	462354 ELCL_PROC ELLIPSE  (5)
MSG	462354 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	462355 !MODE RECORD CR 1000 1 1 R
START	462356 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	462356	120
462666	  980.9	  556.2	 1808.0	...
462667	  982.9	  556.3	 1808.0	...
462668	  982.9	  556.5	 1818.0	...
462669	  983.7	  556.5	 1818.0	...
462670	  983.6	  551.7	 1818.0	...
462671	  983.6	  551.7	 1818.0	...
462672	  983.6	  556.6	 1818.0	...
462673	  983.5	  556.6	 1822.0	...
462674	  983.5	  556.5	 1822.0	...
462675	  983.5	  556.3	 1820.0	...
462676	  980.8	  556.2	 1820.0	...
462677	  980.8	  557.9	 1821.0	...
462678	  980.8	  557.7	 1821.0	...
462679	  977.9	  557.8	 1814.0	...
462680	  977.9	  558.3	 1814.0	...
462681	  981.1	  558.2	 1814.0	...
462682	  981.1	  557.9	 1819.0	...
462683	  981.1	  557.9	 1819.0	...
462684	  981.0	  558.4	 1818.0	...
462685	  981.0	  558.8	 1818.0	...
462686	  983.1	  558.4	 1825.0	...
462687	  983.1	  558.0	 1825.0	...
462688	  983.1	  558.3	 1822.0	...
462689	  983.9	  558.5	 1823.0	...
462690	  983.9	  558.5	 1825.0	...
462691	  982.6	  558.6	 1821.0	...
462692	  981.4	  558.6	 1821.0	...
462693	  981.4	  559.1	 1826.0	...
462694	  985.7	  558.9	 1832.0	...
462695	  985.7	  558.3	 1832.0	...
462696	  981.7	  558.5	 1829.0	...
462697	  981.7	  558.1	 1829.0	...
462698	  981.0	  557.7	 1841.0	...
462699	  980.3	  561.1	 1841.0	...
462700	  980.5	  561.1	 1831.0	...
462701	  980.7	  559.0	 1831.0	...
462702	  980.3	  559.0	 1834.0	...
462703	  979.9	  559.3	 1832.0	...
462704	  979.9	  559.3	 1832.0	...
462705	  983.7	  562.0	 1833.0	...
462706	  985.7	  561.9	 1833.0	...
462707	  985.7	  555.8	 1841.0	...
462708	  984.8	  553.9	 1841.0	...
462709	  984.8	  553.9	 1841.0	...
462710	  983.8	  554.6	 1843.0	...
462711	  984.1	  555.3	 1843.0	...
462712	  984.1	  557.9	 1845.0	...
462713	  982.9	  559.7	 1845.0	...
462714	  982.9	  559.7	 1847.0	...
462715	  984.9	  560.8	 1847.0	...
462716	  984.9	  560.8	 1844.0	...
462717	  984.2	  558.9	 1844.0	...
462718	  983.5	  559.0	 1844.0	...
462719	  980.3	  559.1	 1845.0	...
462720	  982.4	  559.8	 1845.0	...
462721	  982.4	  559.8	 1843.0	...
462722	  983.5	  557.5	 1843.0	...
462723	  983.1	  557.5	 1844.0	...
462724	  983.1	  558.3	 1845.0	...
462725	  982.7	  558.5	 1844.0	...
462726	  982.4	  558.7	 1844.0	...
462727	  982.4	  558.7	 1844.0	...
462728	  982.3	  558.6	 1842.0	...
462729	  983.1	  558.6	 1842.0	...
462730	  983.1	  558.9	 1842.0	...
462731	  983.4	  558.9	 1845.0	...
462732	  983.8	  558.9	 1845.0	...
462733	  986.8	  558.7	 1842.0	...
462734	  986.8	  554.9	 1842.0	...
462735	  977.7	  556.2	 1847.0	...
462736	  977.7	  557.1	 1845.0	...
462737	  980.7	  559.1	 1845.0	...
462738	  983.8	  557.9	 1853.0	...
462739	  983.8	  557.2	 1854.0	...
462740	  983.9	  557.2	 1858.0	...
462741	  983.9	  558.4	 1858.0	...
462742	  983.3	  559.6	 1855.0	...
462743	  983.3	  559.6	 1855.0	...
462744	  984.0	  559.6	 1855.0	...
462745	  984.6	  557.1	 1843.0	...
462746	  983.7	  557.4	 1843.0	...
EFIX R   462362	462746	385	  982.1	  553.4	   1768
SSACC R  462747
462747	  983.7	  557.7	 1851.0	...
462748	  984.2	  558.5	 1851.0	...
462749	  984.2	  560.8	 1853.0	...
462750	  983.7	  557.3	 1853.0	...
462751	  983.3	  557.4	 1853.0	...
462752	  982.9	  563.3	 1853.0	...
462753	  982.5	  563.3	 1855.0	...
462754	  967.8	  564.7	 1855.0	...
462755	  963.7	  564.9	 1855.0	...
462756	  959.9	  560.0	 1855.0	...
462757	  942.2	  559.2	 1856.0	...
462758	  933.4	  559.3	 1857.0	...
462759	  913.1	  560.2	 1856.0	...
462760	  904.3	  560.7	 1856.0	...
462761	  893.8	  561.2	 1874.0	...
462762	  871.6	  563.3	 1874.0	...
462763	  856.7	  565.1	 1874.0	...
462764	  846.5	  565.5	 1897.0	...
462765	  831.9	  566.1	 1897.0	...
462766	  827.8	  566.7	 1895.0	...
462767	  808.8	  567.6	 1895.0	...
462768	  801.5	  563.5	 1896.0	...
462769	  788.0	  564.1	 1897.0	...
462770	  780.7	  556.9	 1904.0	...
462771	  766.2	  557.1	 1903.0	...
462772	  752.0	  557.3	 1902.0	...
462773	  746.0	  557.6	 1901.0	...
462774	  739.6	  559.0	 1901.0	...
462775	  728.2	  560.6	 1901.0	...
462776	  727.1	  560.6	 1902.0	...
462777	  723.5	  557.4	 1903.0	...
462778	  713.9	  557.8	 1903.0	...
462779	  713.9	  557.8	 1904.0	...
462780	  700.4	  558.3	 1904.0	...
462781	  699.1	  562.1	 1888.0	...
462782	  698.1	  562.1	 1888.0	...
462783	  697.0	  562.9	 1888.0	...
462784	  692.6	  563.1	 1888.0	...
462785	  693.1	  558.4	 1891.0	...
462786	  694.0	  558.4	 1894.0	...
ESACC R  462747	462786	40	  983.9	  557.9	  693.7	  558.6	   6.06	    282
SFIX R   462787
462787	  693.9	  559.0	 1894.0	...
462788	  692.6	  559.6	 1894.0	...
462789	  692.4	  561.1	 1891.0	...
